============================================================
  SCAN AUTO-CROP REPORT
============================================================
Generated: 2026-03-01 11:59:12
Output:    C:\Users\sohai\Desktop\backup - scan project srm\scan project SRM\part2\one - Cropped

SUMMARY
----------------------------------------
Total images:    129
Cropped:         83
Unchanged:       46
Success rate:    64.3%

STRATEGY BREAKDOWN
----------------------------------------
  original                 46  (35.7%)
  canny_edge               40  (31.0%)
  pro_contour              35  (27.1%)
  pro_rect                  5  (3.9%)
  gradient                  2  (1.6%)
  saturation                1  (0.8%)

PER-IMAGE RESULTS
----------------------------------------
Filename                     Strategy         Original     Cropped     
Scan_0116.jpg                original         662x1000     662x1000    
Scan_0117.jpg                canny_edge       998x668      822x648     
Scan_0118.jpg                pro_contour      672x1001     652x908     
Scan_0119.jpg                pro_contour      1699x2338    987x672     
Scan_0120.jpg                pro_contour      1699x2338    662x1000    
Scan_0121.jpg                gradient         1699x2338    1006x2338   
Scan_0122.jpg                original         1699x2338    1699x2338   
Scan_0123.jpg                saturation       1699x2338    989x2084    
Scan_0124.jpg                pro_contour      994x698      974x584     
Scan_0125.jpg                pro_contour      984x698      964x666     
Scan_0126.jpg                original         1017x701     1017x701    
Scan_0127.jpg                canny_edge       686x999      666x962     
Scan_0128.jpg                canny_edge       674x999      654x863     
Scan_0129.jpg                pro_contour      402x569      339x315     

============================================================
  End of Report
============================================================
